title,company,location,link,description
Analytics Engineer (Junior to Mid Level),Holistics Data,Vietnam,https://vn.linkedin.com/jobs/view/analytics-engineer-junior-to-mid-level-at-holistics-data-4301987191?position=1&pageNum=0&refId=HiBikBBYXWw7RDczMXrY1Q%3D%3D&trackingId=zkXs7jSXtfuOwCgKplsz%2BQ%3D%3D,"Introduction
Holistics is a Business Intelligence platform built for the AI era. We are the team behind projects like the BI tool Holistics, the database diagram tool dbdiagram.io, and the open-source project dbml.org. We help data teams build a trusted, supervised self-service analytics experience for their business stakeholders.
We are searching for an
Analytics Engineer (junior to mid-level)
to help us evolve our data pipeline to support internal decisions, as well as helping our customers get more value of Holistics BI platform.
This is a full-time role based in
Ho Chi Minh City, Vietnam
, with a flexible, hybrid WFH/WFO setup.
What You Will Do
This role is a hybrid of technical analytics work and customer-facing engagements. Your time will be allocated across two core functions.
Internal data pipeline/modeling & BI:
You will actively contribute to our internal data & BI platform, ensuring our internal stakeholders get the data they need
Manage and enhance internal data pipeline: Contribute to the maintenance of our internal data ingestion, transformation, and reporting pipeline, ensuring data is timely and correct. This hands-on work will be a source of direct feedback for our product team.
Build best-practice data models: Develop and refactor internal data models using dbt, following data modeling paradigms like Kimball/Inmon and star/snowflake schemas. These models will serve as real-world examples for customer education.
Ensure data quality and integrity: Implement data tests and validation checks to ensure internal metrics are calculated correctly, translating these practices into customer-facing guidance.
Research and experiment with new tools: Test-drive emerging BI and analytics engineering tools, evaluate how they might enhance our demos or internal stack, and share your findings with the product and marketing teams.
Customer engagement:
Besides working on internal data pipeline, you’ll also get the chance to engage with our customers directly on their analytics projects
Guide customer onboarding: Work directly with new customers via shared Slack channels, review their data warehouse schemas, and coach them on data modeling best practices
Develop enablement assets: Convert modeling best practices and hard-won insights into step-by-step guides, sample Git repositories, and short video tutorials so customers and internal teams can self-serve.
Deliver scoped consulting: Spend focused time helping strategic accounts solve complex data modeling challenges, then document the patterns for future projects and content.
Our current data setup
We wrote an entire book explaining the complex analytics landscape, so it’s fair to say that we know a thing or two about setting up data stack. Our data setup is as follows:
Ingestion and Transformation: Event tracking (Snowplow) and ETLs from various data sources into our data lake (GCS) and data warehouse (BigQuery). The data is then transformed and moved to the data mart using dbt.
Serving: Reporting is served on Holistics, and reverse-ETLs are handled to push data back into our CRMs for operational purposes.
Orchestration: We use Prefect on top of the data stack to orchestrate and automate data pipelines and other operations.
On the business side, we practice what we preach. That means instead of building reports and dashboards, Data team works to maintain a common set of metric definitions and educate the business users on how to self-serve the platform effectively.
What We Look For In You
We are seeking a candidate with a unique blend of technical depth and communication skills.
A genuine interest in the data analytics / BI industry as a whole and a love for owning the entire data stack, not just one part of it.
Systems thinking: You can reason about how business operations, data collection, and system architecture interact and affect one another. When you solve a problem once, you instinctively template it for the next fifty times.
Excellent communication skills: You can communicate complex technical ideas clearly in both written and spoken English. You write like you code - clear, concise, and maintainable.
Problem-solving orientation: You have solid problem decomposition skills and are energized by live problem-solving in workshops and discovery calls.
Continuous learner: You possess a growth mindset and are excited to learn something new as part of your work every day.
Technical Skills
SQL: You have a good foundation in SQL. You can write readable queries to extract and manipulate data, and you can explain core concepts like grain and joins.
Data Modeling: You are familiar with fundamental data modeling concepts (e.g., dimensional modeling) and schema designs (star/snowflake) and understand why we transform raw data into user-friendly formats.
Programming: You have some experience with Python or an equivalent language for scripting and data manipulation tasks.
Version Control: You are familiar with the basics of Git for tracking changes and collaborating on projects.
Cloud Databases: You have exposure to, or academic experience with, a major cloud data warehouse (e.g., BigQuery, Snowflake, Redshift).
Nice-to-haves:
Exposure to dbt, Looker/LookML, Holistics, or other modern BI tools; a demonstrated interest in learning how data infrastructure empowers business decisions.
Interview Process
Round 1: A chat with the team and a light technical interview to discuss your skills, experience, and past projects.‍
Round 2: A short take-home assignment or on-site assignment to assess your technical and problem-solving skills.‍
Round 3: A culture and behavioral chat with management.
Why You'll Love Working
💕 Benefits
Flexible working arrangement, hybrid work (WFO+WFH) policies
14 annual leaves, 14 sick leaves, and childcare leave policy.
Annual budget for personal and professional growth, well-being, and interest cultivations.
24/7 healthcare insurance; periodic medical checkups.
13-month salary; annual compensation reviews
Weekly happy hours, company-organized events.
Workstations provided for maximum productivity
MacBook (or Laptop) Grant
Mechanical Keyboard + Mouse
Big-screen monitor(s)
Working time:
From Monday – Friday, from 9.00 a.m. to 6.00 p.m.
Work location:
457-459 Nguyen Dinh Chieu, Ward 5, District 3, Ho Chi Minh City, Vietnam."
Data Engineer,The Value Maximizer,"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-the-value-maximizer-4309898349?position=2&pageNum=0&refId=HiBikBBYXWw7RDczMXrY1Q%3D%3D&trackingId=A1wLxTXtgvJA139YzfcDEQ%3D%3D,"MÔ TẢ CÔNG VIỆC
Phân tích yêu cầu nghiệp vụ cho hệ thống dữ liệu từ nguồn, phối hợp xây dựng các yêu cầu dữ liệu phục vụ báo cáo, phân tích từ các hệ thống nguồn khác nhau như T24, W4,..
Vận hành , phát triển & tối ưu hóa luồng dữ liệu - cả mảng dữ liệu & sandbox cho các team Analytics
Duy trì & phát triển hệ thống từ điển dữ liệu cho khối KHCN Yêu cầu tuyển dụng1. Trình độ Học vấn
Đại học hoặc cao hơn liên quan đến 1 trong các ngành kinh tế, tài chính, ngân hàng, hoặc công nghệ thông tin, toán tin ứng dụng, ngoại thương...2.Kiến thức/ Chuyên môn Có Liên Quan
Có kinh nghiệm ở vai trò Kỹ sư Dữ liệu hoặc vai trò tương đương
Có kinh nghiệm thiết kế ở mức schema các hệ quản trị cơ sở dữ liệu
Có kinh nghiệm cũng như kiến thức nghiệp vụ ngân hàng cũng như các hệ thống nghiệp vụ ngân hàng
Có kinh nghiệm làm việc với các hệ thống dữ liệu: Data Warehouse/ Data LakeHouse/ Data Product
Có kiến thức về các ngôn ngữ lập trình (SQL, Python, Spark)
Có kinh nghiệm triển khai thực tế với các hệ thống IBM DWH, AWS, Databricks là 1 điểm cộng
Có chứng chỉ về Data Engineer là 1 điểm cộng Quyền lợi và chế độ đãi ngộ
Mức lương: 20- 40 triệu + Thưởng dự án
Đóng đầy đủ bảo hiểm
Thưởng lễ, Tết
Xét tăng lương hàng năm (8-10 triệu/năm)
Nghỉ phép theo quy định công ty
Onsite dự án bank (dài hạn)
Thử việc 2 tháng (lương thử việc 85%)"
Data Engineer Executive,TH Food Chain,"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-executive-at-th-food-chain-4309552289?position=3&pageNum=0&refId=HiBikBBYXWw7RDczMXrY1Q%3D%3D&trackingId=uiK2KSCviDuWVbrDB7AKnw%3D%3D,"Tìm việc làm tương tự:
Xem tất cả việc làm, THFC_Tất Cả Việc Làm, THFC_Công Nghệ Thông Tin, Công nghệ thông tin"
"Data Engineer (Python,SQL upto $2500)",FPT Software Innovation,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-python-sql-upto-%242500-at-fpt-software-innovation-4306343052?position=4&pageNum=0&refId=HiBikBBYXWw7RDczMXrY1Q%3D%3D&trackingId=u9DqP%2Fw5qDRABex9RG0psg%3D%3D,"Position: Data Engineer (Midde/Senior)
Location: District 9, Ho Chi Minh City
About the Role
We are looking for a Data Engineer with 3+ years of experience, strong expertise in
Python and SQL
, and hands-on experience with Azure Data Services. This is a great opportunity to grow technically while contributing to an enterprise-level Big Data transformation for global projects.
Key Responsibilities
Develop and maintain scalable, production-grade data pipelines.
Work extensively with
Python and SQL
to build, optimize, and maintain ETL/ELT processes.
Work with Azure components (Data Lake, Data Factory, Synapse, etc.).
Support data modeling and integration across various structured data sources.
Contribute to platform migration efforts toward Big Data architecture.
Collaborate with analysts, architects, and stakeholders to deliver reusable data assets.
Participate in Agile ceremonies (standups, sprint planning, retros, etc.).
Required Skills & Experience
Bachelor’s degree in IT, Computer Science, Data Science, or related fields.
3+ years of experience in data engineering.
Strong programming skills in Python and SQL
with solid knowledge of RDBMS (Oracle, SQL Server).
Hands-on experience with Azure Data Services: Data Lake, Data Factory, Synapse.
Good understanding of data modeling, integration patterns, and pipeline orchestration.
Good English communication and teamwork skills; ability to work cross-functionally.
Nice to have:
Experience with Databricks (including Unity Catalog).
Benefits
“FPT Care” health insurance provided by Petrolimex (PJICO), exclusive for FPT employees.
Annual summer vacation starting from May, following company policy.
Annual salary review.
International, dynamic, and friendly working environment.
Annual leave and working conditions compliant with Vietnam labor laws.
Sponsorship for international certification exams and study programs.
Loan interest support policy for Fsofter employees.
Shuttle bus service for employees.
Contact
Ms. Thu – Talent Acquisition Specialist
Email: Thuthm1@fpt.com
| Tel/Zalo: 0522930490"
Middle Data Engineer,Global Fashion Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/middle-data-engineer-at-global-fashion-group-4306185198?position=5&pageNum=0&refId=HiBikBBYXWw7RDczMXrY1Q%3D%3D&trackingId=WIgESyLqc%2FOkIoBKMi88zg%3D%3D,"About Global Fashion Group
Global Fashion Group is the leading fashion and lifestyle destination in growth markets across LATAM, SEA and ANZ. From our people to our customers and partners, we exist to empower everyone to express their true selves through fashion. Our three e-commerce platforms: Dafiti, ZALORA and THE ICONIC connect an assortment of international, local and own brands to over 800 million consumers from diverse cultures and lifestyles. GFG’s platforms provide seamless and inspiring customer experiences from discovery to delivery, powered by art & science that is infused with unparalleled local knowledge. As part of the Group’s vision is to be the #1 online destination for fashion & lifestyle in growth markets, we are committed to doing this responsibly by being people and planet positive across everything we do.
Since launching in 2011, THE ICONIC has redefined the future of retail in Australia and New Zealand. As the leading fashion, sports and lifestyle e-commerce destination in the region, our e-commerce platforms (Retail, Marketplace and Services) provide a seamless and inspiring end-to-end customer experience through our own technology innovations. We stand for benchmark-setting customer service, delivery options, returns policies, and curation of brands.
We are a diverse and dynamic community of over 1,000 people working towards our purpose “To bring on the future of shopping”. THE ICONIC is people and planet positive, and we strive towards creating a positive impact in the world by driving genuine and meaningful change for the better of all communities involved.
For more information visit: www.global-fashion-group.com
At GFG, Technology is driven by innovation and quality is highly valued. Our data team is the driving force behind our business strategies and decisions. We are integrated into all departments to ensure all employees at THE ICONIC have access to good quality and timely data.
Our Data Engineering team solves complex problems and delivers data to propel our business forward, powering the insights that are used in every decision we make. We are the engineers, the builders, the maintenance people for all our business data.
SCOPE OF ROLE
Develop and support our enterprise data warehouses, analytical databases and infrastructure
Work with the team to re-platform our existing data architecture to next generation tooling and data architecture
Build/Maintain our data pipelines in Python and SQL to ensure that data is delivered in a timely manner
Work closely with our Data Scientists and Data Analysts to implement new insights and statistical models
Assist in developing tools/processes to enable our business to self serve
What It Takes
Both AWS and GCP
BigQuery, SQL Server and Redshift
Docker & Kubernetes
Airflow, Cloud Composer and Pentaho
Cloud Dataflow/Apache Beam
High velocity streaming data, behavioural data and well as structured and unstructured data
Extensive programming knowledge of Data processing within Python
Dependency management within Python
Iterators, producers and consumer knowledge
Airflow DAG building
CI/CD - Bamboo Deployment / Delivery Experience
Strong SQL coding skills
Advanced Data Engineering Design Skills
Excellent communication skills
Significant experience in a similar Data Engineering role
Strong data warehousing/Data Engineering experience
Experience with data modelling and complex ETL solutions
Test and QA Experience in Data Pipelines
Ways to stand out from the crowd
GCP experience
BigQuery/Redshift
Cube/SSAS Experience
DevOps/CICD
What We Offer You
The ability to cross train into DevOps/Platforms or Data Engineering
The unique opportunity to have a serious impact on a growing organisation
A dynamic working environment shaping the face of fashion e-commerce in growth markets
Work closely with a global talent pool with international mindset
#1 IT company to work for in Vietnam in 2021
Best practice scaled agile engineering
Amazing office and great culture! Massage chairs, table tennis, video game room, quarterly team events, yearly company trip, end of the year party
Hybrid working environment and work from home set up allowance
Clear career progression plan and support
English classes
Macbook or laptop when you start
Social insurance, medical insurance & AON insurance
13th month salary
15 days of annual leave, 30 days of sick leave/mental health, 1 day of occasion leave
Support for Gym membership
VND 60,000,000 referral reward for successfully referring someone to GFG
Global Fashion Group embraces diversity and equality of opportunity. We are committed to building an inclusive and diverse team representing all backgrounds, with as wide a range of perspectives as possible, and harnessing industry-leading skills. We believe that the more inclusive we are, the better our work will be. We welcome and consider applications to join our team from all qualified candidates, regardless of their characteristics. We comply with all applicable laws and regulations on non-discrimination in employment (and recruitment), as well as work authorization and employment eligibility verification requirements."
Data Engineer,Hitachi Consulting ( formerly Information Management Group),"Đà Nang, Da Nang City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-hitachi-consulting-formerly-information-management-group-4305957918?position=6&pageNum=0&refId=HiBikBBYXWw7RDczMXrY1Q%3D%3D&trackingId=Tsx7jLxZCxK89fr%2Fhf%2FY2Q%3D%3D,"Our Company
Imagine the sheer breadth of talent it takes to bring a better tomorrow closer to today. We don’t expect you to ‘fit’ every requirement – your life experience, character, perspective, and passion for achieving great things in the world are equally as important to us.
Design, implement, maintain data models
Support data model and ETL solutions in production.
Build and maintain data pipelines using tools such as NIFI, Airflow, etc.
Evaluate and define KPIs to monitor and manage data quality
Tuning and improving the performance of DB/DWH.
Support data scientists, data analyst to explore data in Data warehouse.
Build and maintain integration data flow provided to other departments.
Maintain update-to-date documentation of data catalog, ETL flows, data dictionary.
Practice sustainable incident response and blameless postmortems.
Participate in end to end engineering solutions with regard to data processing and data delivery and integration, including data processing job/pipeline tool suite, batch framework and platform, micro-service framework and platform.
BASIC QUALIFICATIONS
Skill in one of the following languages Python / Java / Kotlin, and target in Big Data career.
Skill in one of the following technologies: PySpark / Spark / Flink / Airflow
PREFERRED QUALIFICATIONS
Experience in Design, ETL, data modeling and developing SQL database solutions.
Good understanding of data management - data lineage, meta data, data quality, data governance
Have basic understanding about big data, and big data platform.
Knowledge with S3/ Spark/ Jupyter/ Flink is a plus point.
Ability to debug and optimize code and automate routine tasks.
Skills in task and time management, proactive problem solver.
Teamwork and communication skills.
Championing diversity, equity, and inclusion
How We Look After You
We want to help you take care of your today and tomorrow – at home and at work. Which is why we offer industry-leading benefits that go far beyond compensation. That means support, services, and resources that also take care of your holistic health and wellbeing. We’re always looking for new ways of working that bring out our best, which leads to unexpected ideas. Here, you’ll experience a sense of belonging, and discover autonomy, freedom, and ownership as you work alongside talented people you enjoy sharing knowledge with. We’re also champions of life balance and offer flexible arrangements that work for you (role and location dependent).
We’re a global team of innovators, together, we harness engineering excellence and passion for creating meaningful solutions to complex challenges. We turn organizations into industry leaders that can a make positive impact on their industries and society.
We’re proud to say we’re an equal opportunity employer and welcome all applicants for employment without attention to race, colour, religion, sex, sexual orientation, gender identity, national origin, veteran, age, disability status or any other protected characteristic. Should you need reasonable accommodations during the recruitment process, please let us know so that we can do our best to set you up for success.
Fostering innovation through diverse perspectives
Hitachi is a global company operating across a wide range of industries and regions. One of the things that sets Hitachi apart is the diversity of our business and people, which drives our innovation and growth.
We are committed to building an inclusive culture based on mutual respect and merit-based systems. We believe that when people feel valued, heard, and safe to express themselves, they do their best work.
How We Look After You
We help take care of your today and tomorrow with industry-leading benefits, support, and services that look after your holistic health and wellbeing. We’re also champions of life balance and offer flexible arrangements that work for you (role and location dependent). We’re always looking for new ways of working that bring out our best, which leads to unexpected ideas. So here, you’ll experience a sense of belonging, and discover autonomy, freedom, and ownership as you work alongside talented people you enjoy sharing knowledge with.
We’re proud to say we’re an equal opportunity employer and welcome all applicants for employment without attention to race, colour, religion, sex, sexual orientation, gender identity, national origin, veteran, age, disability status
or any other protected characteristic.
Should you need reasonable accommodations during the recruitment process, please let us know so that we can do our best to set you up for success."
Data Engineer-Upto 50M-Signing bonus 20M,SETA International,Hanoi Capital Region,https://vn.linkedin.com/jobs/view/data-engineer-upto-50m-signing-bonus-20m-at-seta-international-4308204019?position=7&pageNum=0&refId=HiBikBBYXWw7RDczMXrY1Q%3D%3D&trackingId=Lzt4VeioshKxoNFHlQ%2FmvA%3D%3D,"SETA INTERNATIONAL VIETNAM- RECRUITMENT
Job Title: Data Engineer
Responsibilities:
Automate and optimize data pipelines to ensure efficient and scalable data flow.
Perform ETL tasks for the data warehouse and optimize queries for data processing.
Conceptualize and build infrastructure to enable big data access and analysis.
Prepare and analyze raw data for manipulation by data scientists, and interpret trends and patterns.
Develop data tools to support analytics and data science teams.
Work with cloud infrastructure (preferably GCP) for deployment and scaling.
Explore and evaluate new data products and technologies.
Build and maintain analytic dashboards and reports.
Requirements:
Experience:
At least 3 years of experience as a Data Engineer.
Good communication skills in English.
Strong experience with cloud platforms (
GCP preferred
), including core services for data storage, processing, and analytics.
Big Data & Streaming:
Hands-on experience designing and implementing scalable data pipelines for both batch and real-time data. Experience with
Programming:
– must have
– nice to have
– understanding or willingness to learn for data ingestion from various sources
Strong skills in writing complex queries for data extraction, transformation, and analysis.
Workflow Orchestration:
Experience with
Apache Airflow
for building, scheduling, and maintaining data workflows.
Version Control:
Proficient with
and collaborative development workflows.
System Skills:
Comfortable working with the
Linux command line
for operations, scripting, and automation.
Familiarity with using AI tools to accelerate coding and improve productivity.
Soft Skills:
Strong leadership and self-motivation, with the ability to inspire and drive the team forward.
Strong analytical and requirement-gathering skills, able to translate business needs into technical solutions.
Critical thinking and problem-solving abilities.
Open-minded and growth-oriented: eager to learn, adapt, and accept feedback.
Detail-oriented, proactive, and able to perform well under pressure.
Benefits
Salary: Negotiate
An international, professional, young, but innovative and dynamic environment working closely with international experts and joining conferences and workshops on exciting new technologies.
Full benefits for employees according to the Vietnam Labor Laws: social and health insurance
Holidays based on the Vietnamese labor law + paid vacations
Opportunity to be onsite in the US
Contact
SETA International Viet Nam
: HL Tower, 82 Duy Tan, Ha Noi
hr@setacinq.vn
https://www.seta-international.com/
https://www.facebook.com/SETA.International.careers/"
Senior Data Engineer,Grab,Vietnam,https://vn.linkedin.com/jobs/view/senior-data-engineer-at-grab-4298873928?position=8&pageNum=0&refId=HiBikBBYXWw7RDczMXrY1Q%3D%3D&trackingId=N4F%2FTzVR27rD%2BEm2QJVhew%3D%3D,"Company Description
About Grab and Our Workplace
Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility.
Job Description
Get to Know the Team
We maintain Grab's data infrastructure, a dependable and economical platform that supports internal data processes and company-wide data lake access. This includes managing compute systems such as Apache Spark, Trino, and Starrocks, scheduling via Airflow, and an AWS S3-based storage layer. Our storage solutions utilize modern open-source formats like Apache Iceberg and Delta, in addition to traditional Apache Hive Parquet tables.
We simplify data operations for internal users by providing managed Spark, Starrocks, Trino, and Airflow services. Furthermore, our team collaborates with Grab's Data Catalog team to offer self-service datalake capabilities powered by Datahub. We also partner closely with Grab's AI platforms, ensuring a smooth experience for users in their AI development.
Get to Know the Role
You will support the mission by maintaining and extending the platform capabilities through implementation of new features and continuous improvements. You will also explore new developments in the space and bring them to our platform there by helping the data community at Grab. You will work onsite in Grab Vietnam office, CMC Creative Space, D7, HCMC and report to Data Engineering Manager, who is based in Singapore.
The Critical Tasks You Will Perform
You will maintain and extend the Python/Go/Scala backend for Grab's Airflow, Spark, Trino and Starrocks platform
You will build, modify and extend Python/Scala Spark applications and Airflow pipelines for better performance, reliability, and cost.
You will design and implement architectural improvements for new use cases or efficiency.
You will build platforms that can scale to the 3 Vs of Big Data (Volume, Velocity, Variety)
You will follow various testing best practices and SRE best practices to ensure system stability and reliability.
Qualifications
What Essential Skills You Will Need
Software Engineering, Computer Science, or related undergraduate degree. Proficient in at least one of the following: Python, Go, or Scala and strong appetite to learn other programming languages.
You have 5 or more years of relevant professional experience
Good working knowledge in 3 or more of the following: Airflow, Spark, relational databases (ideally MySQL), Kubernetes, Starrocks, Trino, and backend API implementation and being passionate about learning the others.
Experience with AWS services (S3, EKS, IAM) and infrastructure as code tools like Terraform.
Proficiency in CI/CD tools (Jenkins, GitLab, etc.)
You are to intelligently utilize available AI resources at Grab.
Skills That Are Good To Have
Proficient in Kubernetes with hands of experience with building custom resources using frameworks like kubebuilder.
Proficient in Apache Spark, with good knowledge of resource managers like Yarn, Kubernetes and how spark interacts and work with them
Advanced understanding of Apache Airflow and its working with Celery and/or Kubernetes executor backend with exposure to Python SQLAlchemy framework.
Advanced knowledge of other query engines like Trino, Starrocks and others
Advanced knowledge of AWS Cloud
Good understanding of lakehouse table formats like Iceberg and Delta lake, how query engines work with it.
Additional Information
Life at Grab
We care about your well-being at Grab, here are some of the global benefits we offer:
We have your back with Term Life Insurance and comprehensive Medical Insurance.
With GrabFlex, create a benefits package that suits your needs and aspirations.
Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leave
We have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.
Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours
What We Stand For At Grab
We are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender identity, sexual orientation, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique."
"Data Engineer (good EN, upto $2500)",FPT Software Innovation,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-good-en-upto-%242500-at-fpt-software-innovation-4311255057?position=9&pageNum=0&refId=HiBikBBYXWw7RDczMXrY1Q%3D%3D&trackingId=BKP%2FFndapPAq56oKFMKuOw%3D%3D,"Position: Data Engineer (nice to have Databricks)
Location: HCMC
Key Responsibilities
• Develop and maintain scalable, production-grade data pipelines
• Support data modeling and integration across various structured data sources
• Contribute to platform migration efforts toward Databricks and Big Data architecture
• Collaborate with analysts, architects, and stakeholders to deliver reusable data assets
• Join Agile ceremonies (standups, sprint planning, retros, etc.)
Required Skills & Experience
Bachelor's degree in IT, Computer Science, Data Science, or related fields
At least 3 years of experience in data engineering with strong SQL and RDBMS knowledge (Oracle, SQL Server)
Advanced SQL skills for complex queries, performance tuning, and data manipulation
Solid programming skills in Python for data processing, automation, and ETL
Experience working with Spark (PySpark/Scala Spark), including building scalable distributed data processing pipelines
Nice to have experience with Databricks (including Unity Catalog is a plus)
Familiarity with Azure, AWS, or GCP cloud platforms
Understanding of data modeling, integration patterns, and pipeline orchestration
Good English communication and teamwork skills; ability to work cross-functionally
Benefits
• “FPT care” health insurance is provided by Petrolimex (PJICO) and is exclusive for FPT employees
• Annual Summer Vacation: follows the company’s policy and starts from May every year
• Salary review 1 time per year
• International, dynamic, and friendly working environment
• Annual leave and working conditions follow Vietnam labor laws
• Other benefits: sponsor for studying and taking international certification exams, sponsor loan interest policy for Fsofter
• Shuttle bus for employees
Contact: Ms. Thu – Talent Acquisition Specialist
Email: Thuthm1@fpt.com | Tel/Zalo: 052293049"
Data Engineer,BJAK,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-engineer-at-bjak-4313234269?position=10&pageNum=0&refId=HiBikBBYXWw7RDczMXrY1Q%3D%3D&trackingId=EfYTokDhEu3A7JcmfRvzYA%3D%3D,"Transform Language Models into Real-World Applications
We’re building AI systems for a global audience. We are living in an era of AI transition - this new project team will be focusing on building applications to enable more real world impact and highest usage for the world.
This role is a global role with
remote work arrangement
. You’ll work closely with regional teams across product, engineering, operations, infrastructure and data to build and scale impactful AI solutions.
Why This Role Matters
You’ll fine-tune state-of-the-art models, design evaluation frameworks, and bring AI features into production. Your work ensures our models are not only intelligent, but also safe, trustworthy, and impactful at scale.
What You’ll Do
Collect, clean, and preprocess user-generated text and image data for fine-tuning large models
Design and manage scalable data labeling pipelines, leveraging both crowdsourcing and in-house labeling teams
Build and maintain automated datasets for content moderation (e.g., safe vs unsafe content)
Collaborate with researchers and engineers to ensure datasets are high-quality, diverse, and aligned with model training needs
What Is It Like
Likes ownership and independence
Believe clarity comes from action - prototype, test, and iterate without waiting for perfect plans.
Stay calm and effective in startup chaos - shifting priorities and building from zero doesn’t faze you.
Bias for speed - you believe it’s better to deliver something valuable now than a perfect version much later.
See feedback and failure as part of growth - you’re here to level up.
Possess humility, hunger, and hustle, and lift others up as you go.
Requirements
Proven experience preparing datasets for machine learning or fine-tuning large models
Strong skills in data cleaning, preprocessing, and transformation for both text and image data
Hands-on experience with data labeling workflows and quality assurance for labeled data
Familiarity with building and maintaining moderation datasets (safety, compliance, and filtering)
Proficiency in scripting (Python, SQL) and working with large-scale data pipelines
What You’ll Get
Flat structure & real ownership
Full involvement in direction and consensus decision making
Flexibility in work arrangement
High-impact role with visibility across product, data, and engineering
Top-of-market compensation and performance-based bonuses
Global exposure to product development
Lots of perks - housing rental subsidies, a quality company cafeteria, and overtime meals
Health, dental & vision insurance
Global travel insurance (for you & your dependents)
Unlimited, flexible time off
Our Team & Culture
We’re a densed, high-performance team focused on high quality work and global impact. We behave like owners. We value speed, clarity, and relentless ownership. If you’re hungry to grow and care deeply about excellence, join us.
BJAK is Southeast Asia’s #1 insurance aggregator with 8M+ users, fully owned by its employees. Headquartered in Malaysia and operating in Thailand, Taiwan, and Japan, we help millions of users access transparent and affordable financial protection through Bjak.com. We simplify complex financial products through cutting-edge technologies, including APIs, automation, and AI, to build the next generation of intelligent financial systems.
If you're excited to build real-world AI systems and grow fast in a high-impact environment, we’d love to hear from you."
